playtime_at_review_band,review_count,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
100h+,10,207,194,0.937198,3.9,1.0
10h-24h59m,169,2775,2701,0.973333,4.1006,1.0
25h-49h59m,93,1217,1186,0.974528,2.6667,1.0
2h-9h59m,158,1597,1458,0.912962,3.2468,1.0
30m-1h59m,27,198,196,0.989899,2.9259,1.0
50h-99h59m,23,270,269,0.996296,2.6957,2.0
<30m,20,281,255,0.907473,2.8,1.0
