variable,count_non_null,count_null,count_zero,mean,median,std,min,p10,p25,p50,p75,p90,p95,max,sum
num_games_owned,1823,0,833,246.4257,55.0,884.0354,0.0,0.0,0.0,55.0,252.0,594.8,944.9,30424.0,449234.0
num_reviews,1823,0,0,56.7356,17.0,408.361,1.0,3.0,6.0,17.0,46.0,105.8,172.9,16648.0,103429.0
