variable,count_non_null,count_null,count_zero,mean,median,std,min,p10,p25,p50,p75,p90,p95,max,sum
playtime_forever,1823,0,0,2511.2095,1535.0,6353.3584,8.0,299.2,806.5,1535.0,2682.5,4476.4,6797.5,207157.0,4577935.0
playtime_last_two_weeks,1823,0,1761,19.6637,0.0,166.4499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.0,35847.0
playtime_at_review,1823,0,0,1340.8969,888.0,2322.6185,5.0,130.4,339.0,888.0,1695.0,2761.2,3737.0,64966.0,2444455.0
deck_playtime_at_review,99,1724,0,870.8788,442.0,1229.4982,1.0,27.2,137.5,442.0,1086.0,2153.0,3245.2,6967.0,86217.0
playtime_post_review,1823,0,598,1170.3127,203.0,5763.1282,0.0,0.0,0.0,203.0,1099.0,2480.4,3906.7,207131.0,2133480.0
