variable,count_non_null,count_null,count_zero,mean,median,std,min,p10,p25,p50,p75,p90,p95,max,sum
votes_up,1823,0,773,4.3116,1.0,15.0441,0.0,0.0,0.0,1.0,3.0,9.0,17.0,296.0,7860.0
votes_funny,1823,0,1463,0.4888,0.0,1.929,0.0,0.0,0.0,0.0,0.0,1.0,2.0,32.0,891.0
comment_count,1823,0,1750,0.09,0.0,0.6681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,164.0
