variable,count_non_null,count_null,count_zero,mean,median,std,min,p10,p25,p50,p75,p90,p95,max,sum
days_between_creation_and_update,1823,0,1482,13.4706,0.0,75.1999,0.0,0.0,0.0,0.0,0.0,2.9828,25.0213,866.971,24556.843
days_between_review_and_last_played,1823,0,37,124.334,6.509,230.0078,-619.364,-0.0876,-0.002,6.509,169.305,513.9726,667.0724,883.356,226660.933
days_to_developer_response,4,1819,0,26.916,25.924,26.273,3.986,4.1249,4.3332,25.924,48.5067,50.5007,51.1653,51.83,107.664
