playtime_at_review_band,review_count,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
100h+,39,3350,2038,0.608358,121.641,15.0
10h-24h59m,559,29533,11514,0.389869,77.7478,12.0
25h-49h59m,373,29442,10430,0.354256,120.0027,21.0
2h-9h59m,527,18941,7604,0.401457,52.6357,10.0
30m-1h59m,111,3861,2117,0.548304,52.3423,10.0
50h-99h59m,114,8668,4143,0.477965,119.386,20.0
<30m,57,1301,969,0.744812,29.8947,8.0
