token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
jest,16,0,0.271804,0.0,0.271804,28.01799
enough,76,37,1.291068,1.021253,0.269815,0.338224
little,50,21,0.849387,0.57963,0.269757,0.551289
souls-like,50,21,0.849387,0.57963,0.269757,0.551289
amazing,24,5,0.407706,0.138007,0.269698,1.562785
especially,58,26,0.985289,0.717637,0.267651,0.457291
give,58,26,0.985289,0.717637,0.267651,0.457291
mechanics,45,18,0.764448,0.496826,0.267622,0.621678
expect,19,2,0.322767,0.055203,0.267564,2.547678
só,19,2,0.322767,0.055203,0.267564,2.547678
вообще,27,7,0.458669,0.19321,0.265459,1.247283
tiene,22,4,0.37373,0.110406,0.263324,1.759182
say,69,33,1.172154,0.910847,0.261306,0.363881
entre,17,1,0.288791,0.027601,0.26119,3.387213
opinion,17,1,0.288791,0.027601,0.26119,3.387213
though,59,27,1.002276,0.745239,0.257038,0.427506
mucho,20,3,0.339755,0.082804,0.25695,2.036716
recomendo,20,3,0.339755,0.082804,0.25695,2.036716
un,15,0,0.254816,0.0,0.254816,27.924881
online,36,13,0.611558,0.358819,0.25274,0.769235
ainda,23,5,0.390718,0.138007,0.252711,1.501384
diferente,23,5,0.390718,0.138007,0.252711,1.501384
chaos,16,1,0.271804,0.027601,0.244202,3.29975
dlc,16,1,0.271804,0.027601,0.244202,3.29975
puede,16,1,0.271804,0.027601,0.244202,3.29975
also,141,78,2.395271,2.152912,0.242359,0.153899
sistema,24,6,0.407706,0.165609,0.242097,1.29975
tree,32,11,0.543608,0.303616,0.239992,0.840319
lots,19,3,0.322767,0.082804,0.239963,1.962715
plenty,14,0,0.237828,0.0,0.237828,27.825345
esta,22,5,0.37373,0.138007,0.235723,1.437254
skills,22,5,0.37373,0.138007,0.235723,1.437254
gets,30,10,0.509632,0.276014,0.233618,0.884713
bu,17,2,0.288791,0.055203,0.233589,2.387213
horas,17,2,0.288791,0.055203,0.233589,2.387213
price,20,4,0.339755,0.110406,0.229349,1.621678
hay,15,1,0.254816,0.027601,0.227215,3.206641
nie,15,1,0.254816,0.027601,0.227215,3.206641
pois,15,1,0.254816,0.027601,0.227215,3.206641
vale,15,1,0.254816,0.027601,0.227215,3.206641
probably,36,14,0.611558,0.38642,0.225138,0.66232
