token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
façon,1,0,2.105263,0.0,2.105263,30.971353
feeling,1,0,2.105263,0.0,2.105263,30.971353
fermer,1,0,2.105263,0.0,2.105263,30.971353
fin,1,0,2.105263,0.0,2.105263,30.971353
flavor,1,0,2.105263,0.0,2.105263,30.971353
floatiness,1,0,2.105263,0.0,2.105263,30.971353
foireuse,1,0,2.105263,0.0,2.105263,30.971353
font,1,0,2.105263,0.0,2.105263,30.971353
for,1,0,2.105263,0.0,2.105263,30.971353
frère,1,0,2.105263,0.0,2.105263,30.971353
global,1,0,2.105263,0.0,2.105263,30.971353
gobbled,1,0,2.105263,0.0,2.105263,30.971353
grand,1,0,2.105263,0.0,2.105263,30.971353
grosse,1,0,2.105263,0.0,2.105263,30.971353
had,1,0,2.105263,0.0,2.105263,30.971353
heure,1,0,2.105263,0.0,2.105263,30.971353
hollowknigth,1,0,2.105263,0.0,2.105263,30.971353
hours,1,0,2.105263,0.0,2.105263,30.971353
idea,1,0,2.105263,0.0,2.105263,30.971353
incompréhensible,1,0,2.105263,0.0,2.105263,30.971353
insisté,1,0,2.105263,0.0,2.105263,30.971353
instancier,1,0,2.105263,0.0,2.105263,30.971353
j'avais,1,0,2.105263,0.0,2.105263,30.971353
j'y,1,0,2.105263,0.0,2.105263,30.971353
jouer,1,0,2.105263,0.0,2.105263,30.971353
joueur,1,0,2.105263,0.0,2.105263,30.971353
kicked,1,0,2.105263,0.0,2.105263,30.971353
l'éléments,1,0,2.105263,0.0,2.105263,30.971353
late,1,0,2.105263,0.0,2.105263,30.971353
like,1,0,2.105263,0.0,2.105263,30.971353
liked,1,0,2.105263,0.0,2.105263,30.971353
little,1,0,2.105263,0.0,2.105263,30.971353
littéralement,1,0,2.105263,0.0,2.105263,30.971353
looks,1,0,2.105263,0.0,2.105263,30.971353
là,1,0,2.105263,0.0,2.105263,30.971353
m'a,1,0,2.105263,0.0,2.105263,30.971353
masques,1,0,2.105263,0.0,2.105263,30.971353
maîtrisent,1,0,2.105263,0.0,2.105263,30.971353
mechanics,1,0,2.105263,0.0,2.105263,30.971353
mob,1,0,2.105263,0.0,2.105263,30.971353
mobs,1,0,2.105263,0.0,2.105263,30.971353
moi,1,0,2.105263,0.0,2.105263,30.971353
moindre,1,0,2.105263,0.0,2.105263,30.971353
monde,1,0,2.105263,0.0,2.105263,30.971353
much,1,0,2.105263,0.0,2.105263,30.971353
nickel,1,0,2.105263,0.0,2.105263,30.971353
no,1,0,2.105263,0.0,2.105263,30.971353
non,1,0,2.105263,0.0,2.105263,30.971353
number,1,0,2.105263,0.0,2.105263,30.971353
office,1,0,2.105263,0.0,2.105263,30.971353
