playtime_at_review_band,review_count,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
100h+,2,3,3,1.0,2.0,2.0
10h-24h59m,16,1381,890,0.644461,149.0,26.5
25h-49h59m,18,1448,898,0.620166,131.5556,23.0
2h-9h59m,23,543,393,0.723757,43.3043,12.0
30m-1h59m,3,52,48,0.923077,29.0,17.0
50h-99h59m,6,241,190,0.788382,71.0,20.5
<30m,1,94,79,0.840426,173.0,173.0
