token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
alguna,1,0,1.04712,0.0,1.04712,29.96378
all,1,0,1.04712,0.0,1.04712,29.96378
allá,1,0,1.04712,0.0,1.04712,29.96378
almost,1,0,1.04712,0.0,1.04712,29.96378
also,1,0,1.04712,0.0,1.04712,29.96378
always,1,0,1.04712,0.0,1.04712,29.96378
amaba,1,0,1.04712,0.0,1.04712,29.96378
an,1,0,1.04712,0.0,1.04712,29.96378
ansias,1,0,1.04712,0.0,1.04712,29.96378
anuncio,1,0,1.04712,0.0,1.04712,29.96378
aplomo,1,0,1.04712,0.0,1.04712,29.96378
as,1,0,1.04712,0.0,1.04712,29.96378
at,1,0,1.04712,0.0,1.04712,29.96378
attack,1,0,1.04712,0.0,1.04712,29.96378
audiencia,1,0,1.04712,0.0,1.04712,29.96378
back,1,0,1.04712,0.0,1.04712,29.96378
bad,1,0,1.04712,0.0,1.04712,29.96378
best,1,0,1.04712,0.0,1.04712,29.96378
bichos,1,0,1.04712,0.0,1.04712,29.96378
boast,1,0,1.04712,0.0,1.04712,29.96378
buenas,1,0,1.04712,0.0,1.04712,29.96378
buscandolo,1,0,1.04712,0.0,1.04712,29.96378
button,1,0,1.04712,0.0,1.04712,29.96378
cae,1,0,1.04712,0.0,1.04712,29.96378
calidad,1,0,1.04712,0.0,1.04712,29.96378
cancún,1,0,1.04712,0.0,1.04712,29.96378
capaz,1,0,1.04712,0.0,1.04712,29.96378
capturó,1,0,1.04712,0.0,1.04712,29.96378
caracteristico,1,0,1.04712,0.0,1.04712,29.96378
carajos,1,0,1.04712,0.0,1.04712,29.96378
casa,1,0,1.04712,0.0,1.04712,29.96378
cases,1,0,1.04712,0.0,1.04712,29.96378
casualidad,1,0,1.04712,0.0,1.04712,29.96378
character,1,0,1.04712,0.0,1.04712,29.96378
chasco,1,0,1.04712,0.0,1.04712,29.96378
chase,1,0,1.04712,0.0,1.04712,29.96378
combat,1,0,1.04712,0.0,1.04712,29.96378
common,1,0,1.04712,0.0,1.04712,29.96378
compare,1,0,1.04712,0.0,1.04712,29.96378
compared,1,0,1.04712,0.0,1.04712,29.96378
compramos,1,0,1.04712,0.0,1.04712,29.96378
conclusion,1,0,1.04712,0.0,1.04712,29.96378
confusos,1,0,1.04712,0.0,1.04712,29.96378
consigue,1,0,1.04712,0.0,1.04712,29.96378
continuamente,1,0,1.04712,0.0,1.04712,29.96378
controles,1,0,1.04712,0.0,1.04712,29.96378
conviene,1,0,1.04712,0.0,1.04712,29.96378
crees,1,0,1.04712,0.0,1.04712,29.96378
