playtime_at_review_band,review_count,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
100h+,3,151,149,0.986755,21.6667,12.0
10h-24h59m,12,220,219,0.995455,9.4167,5.5
25h-49h59m,8,156,145,0.929487,11.875,6.5
2h-9h59m,13,268,258,0.962687,13.6154,10.0
30m-1h59m,4,79,77,0.974684,6.5,6.5
50h-99h59m,3,156,145,0.929487,17.6667,14.0
<30m,1,124,112,0.903226,51.0,51.0
