token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
sale,27,10,0.794094,0.465116,0.328978,0.771719
although,19,5,0.558807,0.232558,0.326249,1.264759
both,49,24,1.441134,1.116279,0.324855,0.368507
familiar,11,0,0.32352,0.0,0.32352,28.269279
universe,11,0,0.32352,0.0,0.32352,28.269279
areas,52,26,1.529367,1.209302,0.320064,0.338759
probably,33,14,0.97056,0.651163,0.319397,0.575799
unique,33,14,0.97056,0.651163,0.319397,0.575799
variety,28,11,0.823505,0.511628,0.311877,0.686683
players,39,18,1.147025,0.837209,0.309816,0.454237
specific,20,6,0.588218,0.27907,0.309148,1.075725
ways,20,6,0.588218,0.27907,0.309148,1.075725
two,53,27,1.558778,1.255814,0.302964,0.311792
loop,34,15,0.999971,0.697674,0.302296,0.519332
backtracking,15,3,0.441163,0.139535,0.301629,1.660688
highly,15,3,0.441163,0.139535,0.301629,1.660688
mix,18,5,0.529396,0.232558,0.296838,1.186756
coop,29,12,0.852916,0.55814,0.294777,0.611778
dlc,10,0,0.294109,0.0,0.294109,28.131776
faster,10,0,0.294109,0.0,0.294109,28.131776
imo,10,0,0.294109,0.0,0.294109,28.131776
chaotic,13,2,0.382342,0.093023,0.289318,2.039199
else,24,9,0.705862,0.418605,0.287257,0.753797
fact,24,9,0.705862,0.418605,0.287257,0.753797
hours,35,16,1.029381,0.744186,0.285195,0.468042
there's,65,35,1.911708,1.627907,0.283802,0.231844
upgrade,27,11,0.794094,0.511628,0.282466,0.634215
haven't,19,6,0.558807,0.27907,0.279737,1.001724
options,19,6,0.558807,0.27907,0.279737,1.001724
perfect,30,13,0.882327,0.604651,0.277676,0.54521
connected,11,1,0.32352,0.046512,0.277008,2.798191
taken,11,1,0.32352,0.046512,0.277008,2.798191
player,41,20,1.205847,0.930233,0.275614,0.374383
others,22,8,0.64704,0.372093,0.274947,0.798191
try,44,22,1.29408,1.023256,0.270824,0.338759
difficult,17,5,0.499985,0.232558,0.267427,1.104294
active,9,0,0.264698,0.0,0.264698,27.979773
allows,9,0,0.264698,0.0,0.264698,27.979773
depending,9,0,0.264698,0.0,0.264698,27.979773
likely,9,0,0.264698,0.0,0.264698,27.979773
worthy,9,0,0.264698,0.0,0.264698,27.979773
interesting,31,14,0.911738,0.651163,0.260575,0.485601
traversal,12,2,0.352931,0.093023,0.259908,1.923722
worth,42,21,1.235258,0.976744,0.258514,0.338759
ranged,23,9,0.676451,0.418605,0.257846,0.692396
gear,34,16,0.999971,0.744186,0.255785,0.426222
long,34,16,0.999971,0.744186,0.255785,0.426222
favorite,15,4,0.441163,0.186047,0.255117,1.24565
systems,15,4,0.441163,0.186047,0.255117,1.24565
heavy,45,23,1.32349,1.069767,0.253723,0.307051
small,26,11,0.764683,0.511628,0.253055,0.579768
stuff,37,18,1.088203,0.837209,0.250994,0.378288
ability,18,6,0.529396,0.27907,0.250326,0.923722
mind,18,6,0.529396,0.27907,0.250326,0.923722
friend,29,13,0.852916,0.604651,0.248265,0.496301
addition,10,1,0.294109,0.046512,0.247597,2.660688
op,10,1,0.294109,0.046512,0.247597,2.660688
starts,10,1,0.294109,0.046512,0.247597,2.660688
said,40,20,1.176436,0.930233,0.246203,0.338759
devs,21,8,0.617629,0.372093,0.245536,0.731077
graphics,13,3,0.382342,0.139535,0.242807,1.454237
runs,13,3,0.382342,0.139535,0.242807,1.454237
having,62,34,1.823476,1.581395,0.24208,0.205493
aren't,16,5,0.470574,0.232558,0.238016,1.016831
satisfying,16,5,0.470574,0.232558,0.238016,1.016831
