playtime_at_review_band,review_count,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
100h+,13,2082,995,0.477906,273.6923,87.0
10h-24h59m,228,17884,3808,0.212928,136.2719,50.5
25h-49h59m,140,15941,3700,0.232106,195.9357,71.0
2h-9h59m,217,11066,2728,0.246521,90.0968,35.0
30m-1h59m,55,2644,1153,0.436082,84.1818,22.0
50h-99h59m,49,5140,1776,0.345525,185.4286,69.0
<30m,27,744,476,0.639785,49.963,29.0
