token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
rüstung,2,0,1.504891,0.0,1.504891,30.487012
schlussendlich,2,0,1.504891,0.0,1.504891,30.487012
schwer,2,0,1.504891,0.0,1.504891,30.487012
sekiro,2,0,1.504891,0.0,1.504891,30.487012
selbst,2,0,1.504891,0.0,1.504891,30.487012
setting,2,0,1.504891,0.0,1.504891,30.487012
sorgt,2,0,1.504891,0.0,1.504891,30.487012
spieler,2,0,1.504891,0.0,1.504891,30.487012
statt,2,0,1.504891,0.0,1.504891,30.487012
töten,2,0,1.504891,0.0,1.504891,30.487012
verschwindet,2,0,1.504891,0.0,1.504891,30.487012
vorgänger,2,0,1.504891,0.0,1.504891,30.487012
weiter,2,0,1.504891,0.0,1.504891,30.487012
weiterhin,2,0,1.504891,0.0,1.504891,30.487012
weniger,2,0,1.504891,0.0,1.504891,30.487012
willst,2,0,1.504891,0.0,1.504891,30.487012
wodurch,2,0,1.504891,0.0,1.504891,30.487012
während,2,0,1.504891,0.0,1.504891,30.487012
würde,2,0,1.504891,0.0,1.504891,30.487012
zusammenfassen,2,0,1.504891,0.0,1.504891,30.487012
ändern,2,0,1.504891,0.0,1.504891,30.487012
auch,13,9,9.781791,8.325624,1.456166,0.23254
ausrüstung,3,1,2.257336,0.925069,1.332267,1.286988
dazu,3,1,2.257336,0.925069,1.332267,1.286988
des,3,1,2.257336,0.925069,1.332267,1.286988
geht,3,1,2.257336,0.925069,1.332267,1.286988
jagen,3,1,2.257336,0.925069,1.332267,1.286988
machen,3,1,2.257336,0.925069,1.332267,1.286988
viel,3,1,2.257336,0.925069,1.332267,1.286988
vor,3,1,2.257336,0.925069,1.332267,1.286988
weil,3,1,2.257336,0.925069,1.332267,1.286988
man,14,10,10.534236,9.250694,1.283542,0.187452
also,4,2,3.009782,1.850139,1.159643,0.702025
keine,4,2,3.009782,1.850139,1.159643,0.702025
mal,4,2,3.009782,1.850139,1.159643,0.702025
nach,4,2,3.009782,1.850139,1.159643,0.702025
waffen,4,2,3.009782,1.850139,1.159643,0.702025
als,10,7,7.524454,6.475486,1.048969,0.216599
