playtime_at_review_band,review_count,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
100h+,4,519,411,0.791908,190.5,167.0
10h-24h59m,38,1787,1157,0.647454,66.5263,20.0
25h-49h59m,38,4347,2496,0.574189,159.3421,34.5
2h-9h59m,36,2478,1503,0.606538,91.5,25.5
30m-1h59m,3,28,28,1.0,12.6667,10.0
50h-99h59m,9,1633,1049,0.642376,265.2222,87.0
<30m,5,44,43,0.977273,12.2,9.0
