metric,value
scope,by_language
app_id,1437400
game_slug,salt_and_sacrifice
game_title,Salt and Sacrifice
language,koreana
reviews_with_text,32
positive_review_count,14
negative_review_count,18
total_tokens,1172
total_unique_tokens,995
type_token_ratio,0.848976
average_review_length_words,39.5625
median_review_length_words,17.0
average_review_length_chars,170.2812
median_review_length_chars,73.5
