review_created_date_month,language,review_count,positive_reviews,negative_reviews,positive_percentage,negative_percentage
2024-12,koreana,3,1,2,33.3333,66.6667
2024-12,spanish,3,3,0,100.0,0.0
2024-12,tchinese,3,2,1,66.6667,33.3333
2024-12,czech,1,0,1,0.0,100.0
2024-12,german,1,0,1,0.0,100.0
2024-12,italian,1,1,0,100.0,0.0
2024-12,polish,1,1,0,100.0,0.0
2024-12,ukrainian,1,1,0,100.0,0.0
2025-01,english,21,11,10,52.381,47.619
2025-01,schinese,14,5,9,35.7143,64.2857
2025-01,russian,7,6,1,85.7143,14.2857
2025-01,spanish,6,4,2,66.6667,33.3333
2025-01,brazilian,5,5,0,100.0,0.0
2025-01,french,1,1,0,100.0,0.0
2025-01,italian,1,0,1,0.0,100.0
2025-02,english,35,27,8,77.1429,22.8571
2025-02,schinese,20,7,13,35.0,65.0
2025-02,russian,6,5,1,83.3333,16.6667
2025-02,brazilian,5,5,0,100.0,0.0
2025-02,tchinese,4,1,3,25.0,75.0
2025-02,latam,2,2,0,100.0,0.0
2025-02,ukrainian,2,2,0,100.0,0.0
2025-02,french,1,1,0,100.0,0.0
2025-02,german,1,1,0,100.0,0.0
2025-02,japanese,1,0,1,0.0,100.0
2025-02,polish,1,1,0,100.0,0.0
2025-02,spanish,1,1,0,100.0,0.0
2025-03,english,26,21,5,80.7692,19.2308
2025-03,schinese,25,9,16,36.0,64.0
2025-03,spanish,4,3,1,75.0,25.0
2025-03,russian,2,2,0,100.0,0.0
2025-03,danish,1,1,0,100.0,0.0
2025-03,japanese,1,0,1,0.0,100.0
2025-03,koreana,1,0,1,0.0,100.0
2025-03,polish,1,1,0,100.0,0.0
2025-03,vietnamese,1,0,1,0.0,100.0
2025-04,english,7,4,3,57.1429,42.8571
2025-04,schinese,7,1,6,14.2857,85.7143
2025-04,russian,6,4,2,66.6667,33.3333
2025-04,brazilian,3,3,0,100.0,0.0
2025-04,french,1,0,1,0.0,100.0
2025-04,koreana,1,1,0,100.0,0.0
2025-04,spanish,1,1,0,100.0,0.0
2025-05,english,9,4,5,44.4444,55.5556
2025-05,brazilian,4,4,0,100.0,0.0
2025-05,russian,4,1,3,25.0,75.0
2025-05,schinese,3,1,2,33.3333,66.6667
2025-05,dutch,1,1,0,100.0,0.0
2025-05,spanish,1,1,0,100.0,0.0
2025-06,english,9,6,3,66.6667,33.3333
2025-06,schinese,8,4,4,50.0,50.0
2025-06,brazilian,5,5,0,100.0,0.0
2025-06,russian,2,2,0,100.0,0.0
2025-06,ukrainian,1,1,0,100.0,0.0
2025-07,english,20,16,4,80.0,20.0
2025-07,schinese,14,5,9,35.7143,64.2857
2025-07,russian,5,3,2,60.0,40.0
2025-07,brazilian,4,3,1,75.0,25.0
2025-07,german,3,2,1,66.6667,33.3333
2025-07,japanese,2,0,2,0.0,100.0
2025-07,koreana,2,0,2,0.0,100.0
2025-07,finnish,1,1,0,100.0,0.0
2025-07,hungarian,1,1,0,100.0,0.0
2025-07,polish,1,1,0,100.0,0.0
2025-07,spanish,1,1,0,100.0,0.0
2025-08,english,7,5,2,71.4286,28.5714
2025-08,russian,6,5,1,83.3333,16.6667
2025-08,schinese,5,4,1,80.0,20.0
2025-08,brazilian,2,1,1,50.0,50.0
2025-08,italian,1,1,0,100.0,0.0
2025-08,tchinese,1,1,0,100.0,0.0
2025-08,turkish,1,0,1,0.0,100.0
2025-09,english,17,10,7,58.8235,41.1765
2025-09,schinese,13,8,5,61.5385,38.4615
2025-09,russian,3,2,1,66.6667,33.3333
2025-09,brazilian,2,2,0,100.0,0.0
2025-09,czech,1,1,0,100.0,0.0
2025-09,polish,1,1,0,100.0,0.0
2025-09,spanish,1,1,0,100.0,0.0
2025-10,english,19,12,7,63.1579,36.8421
2025-10,schinese,8,1,7,12.5,87.5
2025-10,russian,3,3,0,100.0,0.0
2025-10,french,1,0,1,0.0,100.0
2025-10,latam,1,1,0,100.0,0.0
2025-10,polish,1,1,0,100.0,0.0
2025-11,english,12,6,6,50.0,50.0
2025-11,schinese,7,0,7,0.0,100.0
2025-11,russian,2,1,1,50.0,50.0
2025-11,portuguese,1,1,0,100.0,0.0
2025-11,tchinese,1,0,1,0.0,100.0
2025-12,english,12,10,2,83.3333,16.6667
2025-12,schinese,9,5,4,55.5556,44.4444
2025-12,brazilian,5,4,1,80.0,20.0
2025-12,spanish,3,3,0,100.0,0.0
2025-12,finnish,1,1,0,100.0,0.0
2025-12,koreana,1,1,0,100.0,0.0
2025-12,polish,1,0,1,0.0,100.0
2025-12,russian,1,0,1,0.0,100.0
2025-12,tchinese,1,1,0,100.0,0.0
2025-12,thai,1,0,1,0.0,100.0
2026-01,english,19,14,5,73.6842,26.3158
2026-01,schinese,18,5,13,27.7778,72.2222
2026-01,russian,5,4,1,80.0,20.0
2026-01,brazilian,3,3,0,100.0,0.0
2026-01,spanish,3,1,2,33.3333,66.6667
2026-01,koreana,2,2,0,100.0,0.0
2026-01,tchinese,2,2,0,100.0,0.0
2026-01,german,1,0,1,0.0,100.0
2026-01,japanese,1,0,1,0.0,100.0
2026-02,english,20,16,4,80.0,20.0
2026-02,schinese,6,2,4,33.3333,66.6667
2026-02,spanish,3,3,0,100.0,0.0
2026-02,brazilian,2,1,1,50.0,50.0
2026-02,german,2,0,2,0.0,100.0
2026-02,koreana,1,1,0,100.0,0.0
2026-02,russian,1,0,1,0.0,100.0
2026-02,ukrainian,1,1,0,100.0,0.0
2026-03,english,13,9,4,69.2308,30.7692
2026-03,schinese,12,11,1,91.6667,8.3333
2026-03,brazilian,3,2,1,66.6667,33.3333
2026-03,russian,3,1,2,33.3333,66.6667
2026-03,spanish,3,3,0,100.0,0.0
2026-03,turkish,2,1,1,50.0,50.0
2026-03,hungarian,1,1,0,100.0,0.0
2026-03,italian,1,1,0,100.0,0.0
2026-03,ukrainian,1,1,0,100.0,0.0
2026-04,schinese,5,2,3,40.0,60.0
2026-04,russian,2,1,1,50.0,50.0
2026-04,spanish,1,1,0,100.0,0.0
2026-04,tchinese,1,1,0,100.0,0.0
