playtime_at_review_band,review_count,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
100h+,1,23,23,1.0,33.0,33.0
10h-24h59m,29,867,482,0.55594,46.1724,27.0
25h-49h59m,31,3208,1331,0.4149,158.129,41.0
2h-9h59m,40,1352,727,0.537722,49.775,11.0
30m-1h59m,6,98,82,0.836735,24.1667,15.0
50h-99h59m,10,729,483,0.662551,114.5,28.0
