token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
fiquei,4,0,0.79984,0.0,0.79984,29.575136
for,4,0,0.79984,0.0,0.79984,29.575136
fui,4,0,0.79984,0.0,0.79984,29.575136
interessante,4,0,0.79984,0.0,0.79984,29.575136
items,4,0,0.79984,0.0,0.79984,29.575136
lado,4,0,0.79984,0.0,0.79984,29.575136
legais,4,0,0.79984,0.0,0.79984,29.575136
mundos,4,0,0.79984,0.0,0.79984,29.575136
nas,4,0,0.79984,0.0,0.79984,29.575136
necessario,4,0,0.79984,0.0,0.79984,29.575136
nota,4,0,0.79984,0.0,0.79984,29.575136
novos,4,0,0.79984,0.0,0.79984,29.575136
oferece,4,0,0.79984,0.0,0.79984,29.575136
online,4,0,0.79984,0.0,0.79984,29.575136
outras,4,0,0.79984,0.0,0.79984,29.575136
platina,4,0,0.79984,0.0,0.79984,29.575136
positivos,4,0,0.79984,0.0,0.79984,29.575136
principal,4,0,0.79984,0.0,0.79984,29.575136
proposta,4,0,0.79984,0.0,0.79984,29.575136
santuary,4,0,0.79984,0.0,0.79984,29.575136
sei,4,0,0.79984,0.0,0.79984,29.575136
suas,4,0,0.79984,0.0,0.79984,29.575136
teleportar,4,0,0.79984,0.0,0.79984,29.575136
tenho,4,0,0.79984,0.0,0.79984,29.575136
top,4,0,0.79984,0.0,0.79984,29.575136
triste,4,0,0.79984,0.0,0.79984,29.575136
viu,4,0,0.79984,0.0,0.79984,29.575136
mesmo,27,6,5.39892,4.702194,0.696726,0.199337
depois,15,3,2.9994,2.351097,0.648303,0.35134
todos,11,2,2.19956,1.567398,0.632162,0.488843
tão,11,2,2.19956,1.567398,0.632162,0.488843
deixa,7,1,1.39972,0.783699,0.616021,0.836767
dificuldade,7,1,1.39972,0.783699,0.616021,0.836767
lutas,7,1,1.39972,0.783699,0.616021,0.836767
meio,7,1,1.39972,0.783699,0.616021,0.836767
muitas,7,1,1.39972,0.783699,0.616021,0.836767
outros,7,1,1.39972,0.783699,0.616021,0.836767
tem,54,13,10.79784,10.188088,0.609753,0.08386
aceitável,3,0,0.59988,0.0,0.59988,29.160099
ambientação,3,0,0.59988,0.0,0.59988,29.160099
aprender,3,0,0.59988,0.0,0.59988,29.160099
após,3,0,0.59988,0.0,0.59988,29.160099
armaduras,3,0,0.59988,0.0,0.59988,29.160099
arrependo,3,0,0.59988,0.0,0.59988,29.160099
artefatos,3,0,0.59988,0.0,0.59988,29.160099
aí,3,0,0.59988,0.0,0.59988,29.160099
bacana,3,0,0.59988,0.0,0.59988,29.160099
bugs,3,0,0.59988,0.0,0.59988,29.160099
but,3,0,0.59988,0.0,0.59988,29.160099
caminho,3,0,0.59988,0.0,0.59988,29.160099
cara,3,0,0.59988,0.0,0.59988,29.160099
causa,3,0,0.59988,0.0,0.59988,29.160099
comprei,3,0,0.59988,0.0,0.59988,29.160099
conquistas,3,0,0.59988,0.0,0.59988,29.160099
craft,3,0,0.59988,0.0,0.59988,29.160099
curti,3,0,0.59988,0.0,0.59988,29.160099
dar,3,0,0.59988,0.0,0.59988,29.160099
deixando,3,0,0.59988,0.0,0.59988,29.160099
derrotar,3,0,0.59988,0.0,0.59988,29.160099
deveria,3,0,0.59988,0.0,0.59988,29.160099
dificil,3,0,0.59988,0.0,0.59988,29.160099
dinheiro,3,0,0.59988,0.0,0.59988,29.160099
dlc,3,0,0.59988,0.0,0.59988,29.160099
duvidas,3,0,0.59988,0.0,0.59988,29.160099
embora,3,0,0.59988,0.0,0.59988,29.160099
enfim,3,0,0.59988,0.0,0.59988,29.160099
entendo,3,0,0.59988,0.0,0.59988,29.160099
epic,3,0,0.59988,0.0,0.59988,29.160099
